T (BPM),beatport_key/1.0
166.0,0.5525732321112231
167.0,0.5290244548539191
168.0,0.5290244548539191
169.0,0.47009764281496413
170.0,0.47009764281496413
171.0,0.43224747444460443
172.0,0.43224747444460443
173.0,0.43224747444460443
174.0,0.43224747444460443
175.0,0.4202200659864546
176.0,0.5025046731822718
177.0,0.5025046731822718
178.0,0.5477315210747925
179.0,0.5477315210747925
180.0,0.6025046731822717
181.0,0.5737907474238858
182.0,0.5737907474238858
183.0,0.5737907474238858
184.0,0.5737907474238858
185.0,0.5039921172549473
186.0,1.0037087357812415
187.0,1.0037087357812415
188.0,1.0037087357812415
189.0,1.0037087357812415
190.0,1.0037087357812415
191.0,1.0037087357812415
192.0,1.0037087357812415
193.0,1.0037087357812415
194.0,1.0037087357812415
195.0,1.0037087357812415
196.0,1.0037087357812415
197.0,1.0037087357812415
198.0,1.0037087357812415
199.0,1.007417471562483
200.0,1.007417471562483
201.0,1.007417471562483
202.0,1.007417471562483
203.0,1.007417471562483
204.0,1.007417471562483
205.0,1.007417471562483
206.0,0.0
207.0,0.0
208.0,0.0
209.0,0.0
210.0,0.0
211.0,0.0
212.0,0.0
213.0,0.0
214.0,0.0
215.0,0.0
216.0,0.0
217.0,0.0
218.0,0.0
219.0,0.0
220.0,0.0
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
229.0,0.0
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,0.0
235.0,0.0
236.0,0.0
237.0,0.0
238.0,0.0
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
245.0,0.0
246.0,0.0
247.0,0.0
248.0,0.0
249.0,0.0
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,0.0
274.0,0.0
275.0,0.0
276.0,0.0
277.0,0.0
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0
282.0,0.0
283.0,0.0
284.0,0.0
285.0,0.0
286.0,0.0
287.0,0.0
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
